Dragon-Like Curves,Dragon Tail Spiral,seed=frf&f=f_1_0&r=rrfl_3_120&l=rfll_4_120&it=11,,,
Dragon-Like Curves,River Vine Dragon,seed=fx&f=f_1_0&l=l_3_45&r=r_4_45&x=xllfyfr_0_0&y=lfxfrry_0_0&it=11,,,
Dragon-Like Curves,River Vine Dragon Variant,seed=fx&f=f_1_0&r=r_3_45&l=l_4_45&x=xrrfyfl_0_0&y=rfxflly_0_0&it=11,,,
Dragon-Like Curves,Woven Dragon Blades,seed=fx&f=f_1_0&r=r_3_90&l=l_4_90&x=xrfyr_0_0&y=lxfly_0_0&it=13,,,
Dragon-Like Curves,Wiggly Dragon,seed=fxf&f=f_1_0&r=r_3_90&l=l_4_90&x=rxrflfry_0_0&y=xlfrflyl_0_0&it=13,,,
Dragon-Like Curves,Box Kite Dragon,seed=l&f=ffl_1_0&l=llf_3_90&it=11,,,
Dragon-Like Curves,Box Kite Twin Dragon,seed=ll&f=ffl_1_0&l=llf_3_90&it=9,,,
Dragon-Like Curves,Spinning Blade Dragon,seed=m&f=f_1_0&m=mrfpfr_3_60&X=X_3_90&r=r_4_90&p=XfmfXp_4_60&it=12,,,
Dragon-Like Curves,Pinwheel Dragon,seed=p&f=f_1_0&p=pmfrfm_3_60&m=m_3_90&r=XfpfXr_4_60&X=X_4_90&it=12,,,
Dragon-Like Curves,Messy Dragon,seed=x&f=f_1_0&r=frf_3_90&l=flf_4_90&x=xfrfy_0_0&y=xflfy_0_0&it=13,,,
Dragon-Like Curves,Shear Tool Dragon v2,seed=x&f=f_1_0&r=r_3_135&l=l_4_45&x=fryrffx_0_0&y=yfflxlf_0_0&it=14,,,
Dragon-Like Curves,Shear Tool Dragon v1,seed=x&f=f_1_0&r=r_3_90&l=l_4_90&x=fryrffx_0_0&y=yfflxlf_0_0&it=14,,,
Hilbert-Like Curves,Circle Diamond Carpet,seed=f&f=flgmgnfqfngmglf_1_0&l=l_3_45&g=gg_1_0&m=m_3_90&n=n_3_135&q=q_3_90&it=7,,,
Hilbert-Like Curves,Woven Mat,seed=f&f=rghlflhgr_1_0&g=lfhrgrhfl_1_0&h=h_1_0&r=r_3_90&l=l_4_90&it=9,,,
Hilbert-Like Curves,Triangle Grid v1,seed=ffrff&f=lffrffl_1_0&b=b_2_0&r=r_3_90&l=lbbl_4_45&it=7,,,
Hilbert-Like Curves,Triangle Grid v2,seed=ffrff&f=lffrffl_1_0&b=b_2_0&r=r_3_90&l=lbbl_4_90&it=6,,,
Hilbert-Like Curves,Hilbert Snowflake,seed=p&f=f_1_0&p=mrfApAfrm_3_15&m=m_3_45&r=ApfmrmfpA_4_15&A=A_4_45&it=9,,,
Hilbert-Like Curves,Fancy Hilbert Curve,seed=p&f=f_1_0&p=mrfApfpAfrm_3_15&m=m_3_90&r=ApfmrfrmfpA_4_15&A=A_4_90&it=6,,,
Hilbert-Like Curves,Hilbert Triangle,seed=x&f=f_1_0&r=r_3_45&l=l_4_45&x=ryflflfyr_0_0&y=lxfrfrfxl_0_0&it=12,,,
Hilbert-Like Curves,Hilbert Curve,seed=x&f=f_1_0&r=r_3_90&l=l_4_90&x=ryflxfxlfyr_0_0&y=lxfryfyrfxl_0_0&it=6,,,
Hilbert-Like Curves,This Curve Does More in a Few Degrees than I've Done in My Entire Life,seed=f&f=frffrf_1_0&r=r_3_90&it=7,,,
Knots & Tangles,Twin-Blade Shuriken v1,seed=f&f=brflrflb_1_0&b=bb_2_0&r=rb_3_90&l=bl_4_150&it=12,,,
Knots & Tangles,Chain of 8s,seed=f&f=fgrffr_1_0&g=lgglfg_1_0&r=r_3_60&l=l_4_60&it=8,,,
Knots & Tangles,Christmas Star-Wreath,seed=f&f=flffggrg_1_1&g=grglgrg_1_1&r=r_3_150&l=l_4_150&it=7,,,
Knots & Tangles,Triangle Vine Wings,seed=f&f=flgiglf_1_0&l=l_3_30&m=m_3_90&r=r_4_180&g=gpfhfpg_1_0&h=hhrhh_1_0&p=p_4_60&i=iimii_1_0&it=7,,,
Knots & Tangles,W Antlers,seed=f&f=flgmgnfqfngmglf_1_0&l=l_3_30&g=gg_1_0&m=m_3_60&n=n_3_120&q=q_3_150&it=7,,,
Knots & Tangles,Oval Antlers,seed=f&f=flgmgnfqfngmglf_1_0&l=l_3_30&g=gg_1_0&m=m_3_60&n=n_3_120&q=q_3_180&it=7,,,
Knots & Tangles,Potted Plant Chandelier,seed=f&f=flgmgnfqfngmglf_1_0&l=l_3_45&g=gg_1_0&m=m_3_90&n=n_3_135&q=q_3_45&it=7,,,
Knots & Tangles,Rectangle Spiral,seed=f&f=fllfrrf_1_1&l=fl_3_90&r=rf_4_90&it=9,,,
Knots & Tangles,Heart Locket,seed=f&f=fllgrgllf_1_0&g=frrglgrrf_1_0&r=r_3_60&l=l_4_60&it=8,,,
Knots & Tangles,Endless Perspective Triangles,seed=f&f=fmfbrb_1_0&b=bb_2_0&m=mb_3_135&r=br_3_135&it=10,,,
Knots & Tangles,Chef's Knife Curve Variant,seed=f&f=fmfbrb_1_0&b=bb_2_0&m=mb_3_135&r=br_3_45&it=10,,,
Knots & Tangles,Spider Web Lace,seed=f&f=fmfrggrfmf_1_1&g=g_1_1&m=m_3_210&r=r_3_30&it=8,,,
Knots & Tangles,Cauliflower Swirls,seed=f&f=fpfm_1_0&b=rblb_2_0&r=rf_3_60&p=pf_3_120&l=bl_4_60&m=bm_4_120&it=11,,,
Knots & Tangles,Lace Fish Hook,seed=f&f=frbfrblf_1_1&b=blfrbfrb_2_1&r=r_3_150&l=l_4_150&it=8,,,
Knots & Tangles,Bat-Wing Antlers,seed=f&f=frf_1_1&b=blb_2_1&r=brfrb_3_30&l=flblf_4_30&it=10,,,
Knots & Tangles,Chef's Knife R-Curve (Hourglass Sailboats Variant),seed=f&f=frfblb_1_0&b=bb_2_0&r=rb_3_135&l=bl_4_45&it=10,,,
Knots & Tangles,Messy Diamond Chain,seed=f&f=frfrrfrrrfrrrrf_1_0&r=r_4_30&it=6,,,
Knots & Tangles,Spiky Swoop,seed=f&f=frrfrfrllfl_1_0&b=b_2_0&r=r_3_90&l=l_4_45&it=8,,,
Knots & Tangles,Triangle Chain,seed=f&f=fxyxf_1_0&r=rx_3_120&l=yl_4_120&x=lfrfrflf_0_0&y=frflflfr_0_0&it=7,,,
Knots & Tangles,Fused Snowflakes,seed=f&f=lfl_1_0&b=rbr_2_0&l=blb_3_60&r=frf_4_60&it=9,,,
Knots & Tangles,Triquetra Chain v2,seed=f&f=lflrfrfrfrlfl_1_0&r=r_3_120&l=l_4_60&it=7,,,
Knots & Tangles,Shuriken Chain,seed=f&f=lflrfrfrfrlfl_1_0&r=r_3_30&l=l_4_90&it=6,,,
